,Unnamed: 0,ID,region_id,private_business,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
20206,20206,abd1cea89cba939a27ad10c0e428eddf2d62fcd0,10,business,13450.0,renault,renault-clio,gaz,52907,2016,898,red,,44
20207,20207,24793e234dbf77a55c56bccf7ff510297d249af8,13,business,43500.0,mercedes-benz,mercedes-benz-c-200,diesel,7000,2018,1598,other,,11
20208,20208,bb83c215d9523a3f74f1c26e9f9c40b864dc47b2,1,business,17900.0,audi,audi-a1-sportback,diesel,129680,2014,1598,blue,,183
20209,20209,fe8e38d1cb7991036ab87c1f0389a4028d8bb24f,13,business,40900.0,audi,audi-a6,diesel,25491,2016,1968,other,,15
20210,20210,9f5f6c3060963376b630163ced21b385ce0df391,11,business,3990.0,renault,renault-clio,diesel,310000,2006,1500,beige,,51
20211,20211,12d3252fd6570afe6bc4d07edd6d85c093e6bdbb,10,business,15450.0,mini,mini-cooper,diesel,112000,2012,1598,green,4.0,71
20212,20212,f0beaaf611f535ad582a11f27a8bb91d75d88a09,11,private,12500.0,smart,smart-crossblade,gaz,17500,2016,900,white,2.0,20
20213,20213,5b30e4bdadcff142b6fcfaac2366fe78496bde44,3,business,27550.0,bmw,bmw-x5,diesel,144840,2009,3000,blue,,64
20214,20214,d79b023c800e83d4cb10cc3b8934cb2c75cdec1f,3,private,48890.0,mercedes-benz,mercedes-benz-c-250,diesel,18500,2017,2143,white,4.0,55
20215,20215,ec0e1d001d4ee84a964928c309f4f3f16c73e6e7,13,business,17750.0,audi,audi-a3-sportback,diesel,119000,2014,1600,white,,8
20216,20216,7106ba179481f9876b64dfa331f2534c63d94248,11,business,14800.0,vw,vw-golf-variant,diesel,130608,2014,1598,other,,13
20217,20217,b8929ca43b6bdca48955acc82c1196ca2b1cd535,11,business,48000.0,mercedes-benz,mercedes-benz-c-220,diesel,7500,2018,1950,blue,,70
20218,20218,c590c0ab43ed8672621a8f0b931e4a6110ecee9f,0,business,13400.0,renault,renault-megane,diesel,61625,2013,1461,other,,125
20219,20219,b2c2dd175e5d0f0969d9362c0bc586ac20562a9a,10,business,19850.0,alfa-romeo,alfa-romeo-giulietta,diesel,58134,2016,1598,white,,43
20220,20220,ea3346b602578269bb4cbfcb3a01586228406bbf,3,business,21999.0,renault,renault-megane,diesel,79000,2016,1600,white,,76
20221,20221,96daacebb5725a9e6e7cb2b0ab9dbdd8c024dda4,10,business,24750.0,nissan,nissan-qashqai,diesel,62222,2016,1461,other,,29
20222,20222,be153a0539af9e9f1635f841212bdda7959deb74,11,business,10980.0,skoda,skoda-fabia,gaz,37504,2016,1000,other,,43
20223,20223,e7b31301d8bc3f48bfeba76dde2f1dd11abf7571,0,business,1950.0,vw,vw-golf,gaz,180000,1998,1390,white,,40
20224,20224,d39dfbf9dceaf2a85aadf8cb1bcc344f89859bfb,15,business,10900.0,vw,vw-up,gaz,6316,2017,999,red,4.0,56
20225,20225,d6dfb69711af8cb6099b17cd7a67cb739fcd5f59,10,private,8350.0,vw,vw-passat-variant,diesel,257000,2006,2000,green,,20
20226,20226,49c3c970c4693ab22a35e6354e8740cfd6573425,11,business,13950.0,fiat,fiat-500,gaz,13242,2017,1200,blue,4.0,45
20227,20227,e9edb433f07abc385f1d2a2fcd47a682caacf649,0,business,11280.0,citroen,citroen-c3,gaz,37709,2016,1199,white,,120
20228,20228,216395419d31c0dd869f1ef5b5223d2d81b28db4,14,business,17900.0,volvo,volvo-v40-cross-country,diesel,117300,2014,1560,white,,68
20229,20229,b7564597fb8fbce93f27666b903293919c813435,8,private,10500.0,mercedes-benz,mercedes-benz-clk-200,gaz,179562,2004,1800,blue,4.0,62
20230,20230,88b5c34100bcfe35d602ae0f07ee273ba8746af4,15,business,22750.0,renault,renault-megane,diesel,16281,2017,1461,white,,24
20231,20231,248328d7e0d14e56fab7ae93dea90415295d5a1f,11,business,26750.0,nissan,nissan-qashqai,diesel,6920,2017,1461,white,,8
20232,20232,e6bd836ce6e23156f061ad48ad7d4052cd904f7b,11,business,18990.0,nissan,nissan-juke,diesel,7833,2017,1461,white,,20
20233,20233,049edee4f9611b51060fcd82b557d0b63478b818,15,business,21500.0,seat,seat-arona,gaz,13745,2017,999,white,,53
20234,20234,3dc1c3994485bf07fcdeb8d5edad921461051433,13,business,16950.0,toyota,toyota-hilux,diesel,220000,2010,2500,white,,11
20235,20235,39859f6538ac46ce54859102f929c8c880d9835c,11,business,39990.0,bmw,bmw-x6,gaz,70000,2010,4400,white,4.0,74
20236,20236,3e891b0f3e91149ee2263cc37e44c26c2363a8b3,11,business,33500.0,citroen,citroen-ds,gaz,46000,1972,2348,brown,,161
20237,20237,7af105d13346496deef43b0beef503f3a56017e4,13,business,34450.0,mercedes-benz,mercedes-benz-gla-220,diesel,82000,2015,2200,other,,33
20238,20238,abd9be3cc44728954c0cc6ede80e269378c57d02,11,business,14490.0,opel,opel-astra,gaz,52687,2016,1000,white,,20
20239,20239,1d10a4ac069d56b98ca525dceee286c4d2313889,11,business,9500.0,renault,renault-clio,gaz,63000,2012,900,white,,10
20240,20240,002008d11929a247dff7c195961e9f06297d247f,13,business,2950.0,volvo,volvo-s80,gaz,280000,1999,2000,blue,,17
20241,20241,e88186eeca17da577925c33ae025b8941dfe5240,14,business,10250.0,vw,vw-golf,diesel,204000,2006,1968,blue,,13
20242,20242,ee99cc8c4ac5d713166e9607e3b2b19cd8cfc851,17,business,22000.0,mercedes-benz,mercedes-benz-a-180,diesel,140000,2015,1461,white,,21
